Time,heading,own_a,own_b,own_c,tgt_a,tgt_b,Strength
12:00:00,60,60.25,27.6,91.23,56.31,63.69,7
12:02:00,60,63.22,26.05,92.58,57.25,62.75,7
12:04:00,60,58.64,26.96,92.37,58.2,61.8,7
12:06:00,60,63.11,26.14,90.34,59.16,60.84,8
12:08:00,60,63.89,28.35,94.96,60.13,59.87,9
12:10:00,60,58.72,27.94,94.47,61.11,58.89,10
12:12:00,60,56.3,27.98,91.5,62.09,57.91,9
12:14:00,60,54.81,28.09,93.67,63.09,56.91,7
12:16:00,60,55.68,28.38,91.8,64.09,55.91,5
12:18:00,60,60.98,25.41,92,65.1,54.9,3
12:20:00,70,69.86,38.71,100.82,65.76,74.24,1
12:22:00,80,75.61,46.8,112.23,66.09,93.91,1
12:24:00,90,88.31,57.84,121.18,66.09,113.91,1
12:26:00,100,98.68,69.9,133.13,65.79,134.21,1
12:28:00,100,100.32,68.34,132.97,65.49,134.51,1
12:30:00,100,99.01,66.66,133.47,65.19,134.81,2
12:32:00,100,105.89,65.61,133.32,64.89,135.11,3
12:34:00,100,100.8,69.96,133.55,64.59,135.41,4
12:36:00,100,95.76,68.63,133.19,64.3,135.7,5
12:38:00,100,96.97,66.18,134.18,64.01,135.99,6
12:40:00,100,99.81,67.04,134.18,63.72,136.28,7
12:42:00,100,94.13,66.08,131.84,63.43,136.57,8
12:44:00,100,99.49,69.29,131.23,63.14,136.86,8
12:46:00,100,105.22,66.52,131.51,62.85,137.15,8
12:48:00,100,102.45,68.41,132.03,62.57,137.43,9
12:50:00,100,99.52,68.65,132.03,62.29,137.71,10
